date_time,city,state,dew_point_c,feels_like_c,head_index_c,wind_chill,wind_gust_mph,cloud_cover,humidity,precipitation_mm,pressure,temperature_c,visibility,wind_dir_deg,wind_speed_mph
2018-12-11 00:00:00,Albany,NY,-10,-5,-5,-5,1.24274,9,67,0.0,1023,-5,10,309,0.62137
2018-12-11 03:00:00,Albany,NY,-11,-6,-6,-6,2.48548,18,68,0.0,1023,-6,10,173,1.24274
2018-12-11 06:00:00,Albany,NY,-12,-7,-7,-7,1.24274,14,68,0.0,1023,-8,10,168,0.62137
2018-12-11 09:00:00,Albany,NY,-11,-3,-3,-3,1.86411,8,55,0.0,1021,-4,10,207,1.86411
2018-12-11 12:00:00,Albany,NY,-10,-2,-1,-2,2.48548,3,50,0.0,1017,-2,10,189,1.86411
2018-12-11 15:00:00,Albany,NY,-9,-2,-2,-2,0.62137,3,58,0.0,1016,-3,10,79,0.62137
2018-12-11 18:00:00,Albany,NY,-10,-4,-4,-4,1.24274,94,62,0.0,1016,-4,10,354,0.62137
2018-12-11 21:00:00,Albany,NY,-8,-4,-4,-4,1.86411,66,70,0.0,1016,-4,10,220,1.24274
2018-12-12 00:00:00,Albany,NY,-6,-6,-4,-6,4.34959,81,83,0.0,1015,-4,10,294,2.48548
2018-12-12 03:00:00,Albany,NY,-6,-7,-3,-7,7.45644,63,83,0.1,1016,-3,7,299,4.97096
2018-12-12 06:00:00,Albany,NY,-7,-7,-4,-7,8.07781,49,82,0.0,1018,-4,10,296,4.97096
2018-12-12 09:00:00,Albany,NY,-8,-6,-2,-6,10.56329,77,62,0.0,1020,-2,10,331,8.07781
2018-12-12 12:00:00,Albany,NY,-8,-3,0,-3,6.83507,28,55,0.0,1020,0,10,331,5.59233
2018-12-12 15:00:00,Albany,NY,-8,-4,-2,-4,4.97096,6,64,0.0,1022,-2,10,11,3.10685
2018-12-12 18:00:00,Albany,NY,-11,-8,-4,-8,8.07781,86,59,0.0,1025,-4,10,44,5.59233
2018-12-12 21:00:00,Albany,NY,-13,-8,-5,-8,5.59233,73,52,0.0,1026,-5,10,40,3.72822
2018-12-13 00:00:00,Albany,NY,-17,-7,-6,-7,2.48548,16,42,0.0,1028,-6,10,60,1.86411
2018-12-13 03:00:00,Albany,NY,-17,-8,-5,-8,4.97096,62,41,0.0,1029,-5,10,101,3.10685
2018-12-13 06:00:00,Albany,NY,-18,-10,-7,-10,4.97096,49,42,0.0,1031,-7,10,131,3.72822
2018-12-13 09:00:00,Albany,NY,-14,-7,-4,-7,5.59233,62,46,0.1,1031,-4,10,129,4.34959
2018-12-13 12:00:00,Albany,NY,-9,-7,-4,-7,5.59233,100,70,0.0,1032,-4,10,148,4.34959
2018-12-13 15:00:00,Albany,NY,-7,-6,-3,-6,6.83507,92,75,0.2,1032,-3,5,141,4.97096
2018-12-13 18:00:00,Albany,NY,-7,-6,-4,-6,4.34959,82,82,0.0,1034,-4,10,120,2.48548
2018-12-13 21:00:00,Albany,NY,-6,-5,-3,-5,3.72822,88,82,0.0,1034,-3,10,134,2.48548
2018-12-14 00:00:00,Albany,NY,-5,-6,-3,-6,7.45644,95,85,0.0,1033,-3,10,154,4.34959
2018-12-14 03:00:00,Albany,NY,-4,-4,-3,-4,5.59233,75,90,0.0,1032,-3,10,146,3.10685
2018-12-14 06:00:00,Albany,NY,-3,-6,-2,-6,9.94192,60,94,0.0,1032,-2,10,161,4.97096
2018-12-14 09:00:00,Albany,NY,0,-1,2,-1,11.80603,76,85,0.0,1031,2,10,173,8.07781
2018-12-14 12:00:00,Albany,NY,1,0,4,0,15.53425,100,83,0.0,1028,4,10,179,9.94192
2018-12-14 15:00:00,Albany,NY,2,0,3,0,13.04877,71,91,0.0,1026,3,10,167,7.45644
2018-12-14 18:00:00,Albany,NY,2,0,3,0,14.91288,57,94,0.0,1025,3,10,175,7.45644
2018-12-14 21:00:00,Albany,NY,2,1,3,1,11.18466,56,95,0.0,1024,3,2,190,5.59233
2018-12-15 00:00:00,Albany,NY,2,1,3,1,11.18466,37,93,0.0,1022,3,10,189,5.59233
2018-12-15 03:00:00,Albany,NY,1,1,2,1,6.83507,18,92,0.0,1022,2,10,204,3.10685
2018-12-15 06:00:00,Albany,NY,1,3,3,3,3.10685,37,93,0.0,1023,2,10,141,1.24274
2018-12-15 09:00:00,Albany,NY,3,5,5,5,1.86411,22,89,0.0,1023,5,10,310,1.24274
2018-12-15 12:00:00,Albany,NY,3,6,6,6,3.10685,100,85,0.0,1022,6,10,340,1.86411
2018-12-15 15:00:00,Albany,NY,2,1,3,1,7.45644,12,92,0.0,1023,3,10,3,3.72822
2018-12-15 18:00:00,Albany,NY,1,0,2,0,9.94192,12,92,0.0,1023,2,10,21,4.97096
2018-12-15 21:00:00,Albany,NY,-1,-2,0,-2,8.07781,3,93,0.0,1024,0,10,24,3.72822
2018-12-16 00:00:00,Albany,NY,-2,-3,-1,-3,8.07781,3,91,0.0,1023,-1,10,36,3.72822
2018-12-16 03:00:00,Albany,NY,-3,-4,-2,-4,7.45644,11,90,0.0,1022,-2,10,43,3.72822
2018-12-16 06:00:00,Albany,NY,-3,-2,-1,-2,4.34959,87,85,0.0,1022,-1,10,24,2.48548
2018-12-16 09:00:00,Albany,NY,-2,-2,0,-2,5.59233,95,85,0.9,1020,0,9,36,3.72822
2018-12-16 12:00:00,Albany,NY,-1,-2,1,-2,5.59233,100,90,0.0,1017,0,10,11,3.72822
2018-12-16 15:00:00,Albany,NY,0,-2,0,-2,6.83507,100,94,3.4,1015,0,6,10,4.34959
2018-12-16 18:00:00,Albany,NY,-1,-4,0,-4,11.18466,100,95,0.0,1014,0,2,4,7.45644
2018-12-16 21:00:00,Albany,NY,0,-2,0,-2,6.83507,100,97,7.8,1012,0,6,14,4.34959
2018-12-17 00:00:00,Albany,NY,-1,-2,0,-2,7.45644,100,95,0.0,1010,0,2,349,4.97096
2018-12-17 03:00:00,Albany,NY,-1,0,0,0,3.10685,100,96,0.5,1009,0,9,317,1.86411
2018-12-17 06:00:00,Albany,NY,-2,-3,-2,-3,4.34959,86,95,0.0,1008,-2,2,249,2.48548
2018-12-17 09:00:00,Albany,NY,1,-1,1,-1,7.45644,56,95,0.0,1005,1,2,278,5.59233
2018-12-17 12:00:00,Albany,NY,1,-2,2,-2,13.67014,80,90,0.0,1004,2,10,269,9.32055
2018-12-17 15:00:00,Albany,NY,-2,-4,1,-4,17.39836,85,80,0.2,1004,1,7,295,11.18466
2018-12-17 18:00:00,Albany,NY,-3,-4,-1,-4,10.56329,71,86,0.0,1006,-1,10,292,5.59233
2018-12-17 21:00:00,Albany,NY,-6,-8,-2,-8,20.50521,100,75,0.1,1007,-2,5,309,13.67014
2018-12-18 00:00:00,Albany,NY,-9,-12,-5,-12,18.01973,100,74,0.0,1010,-5,10,313,12.4274
2018-12-18 03:00:00,Albany,NY,-11,-14,-7,-14,21.74795,95,69,0.1,1013,-7,10,315,14.29151
2018-12-18 06:00:00,Albany,NY,-12,-16,-9,-16,17.39836,54,73,0.0,1016,-9,10,316,11.18466
2018-12-18 09:00:00,Albany,NY,-12,-15,-7,-15,19.26247,5,65,0.0,1018,-7,10,321,14.91288
